CREW_ID,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,GENDER,NATIONALITY,COUNTRY,JOB_ID,SALARY_ID,CREW_INFO_ID,VESSEL_ID
CW055,Jennifer,Carpenter,04/11/1970,Female,American,United States,JB31,SA055,CI055,V489
CW056,Mike,French,03/29/1984,Male,Italian,Italy,JB30,SA056,CI056,V421
CW073,Michael,Snow,10/17/1988,Male,British,United Kingdom,JB30,SA073,CI073,V489
CW074,Anthony,Wall,05/13/1973,Male,British,United Kingdom,JB30,SA074,CI074,V490
CW099,Angela,Daugherty,03/18/1981,Male,Japanese,Japan,JB31,SA099,CI099,V490
CW124,Kathryn,Hodges,05/14/1982,Female,British,United Kingdom,JB31,SA124,CI124,V421
CW129,Shawn,Harrington,12/01/1971,Female,Spanish,Spain,JB31,SA129,CI129,V268
CW136,Samuel,Parsons,11/12/1972,Female,Swedish,Sweden,JB31,SA136,CI136,V421
CW154,Samantha,Morris,03/16/1990,Female,British,United Kingdom,JB30,SA154,CI154,V268
CW156,David,Johnson,01/05/1979,Male,Japanese,Japan,JB31,SA156,CI156,V489
CW157,James,Morgan,09/06/1998,Female,British,United Kingdom,JB30,SA157,CI157,V421
CW162,Mariah,Myers,10/22/1966,Male,German,Germany,JB30,SA162,CI162,V489
CW191,Sarah,Ruiz,05/16/1974,Female,French,France,JB31,SA191,CI191,V431
CW199,Christine,Ford,03/09/2000,Female,British,United Kingdom,JB30,SA199,CI199,V431
CW214,Stephanie,Anderson,10/20/1987,Female,British,United Kingdom,JB30,SA214,CI214,V481
CW230,Christina,Cooley,01/03/1974,Female,Spanish,Spanish,JB25,SA582,CI729,V474
CW231,Jacob,Franklin,02/07/1967,Undisclosed,French,French,JB11,SA718,CI918,V428
CW232,Jake,Harris,06/12/1984,Female,German,German,JB20,SA603,CI598,V490
CW233,Adam,Barnes,03/26/1995,Undisclosed,German,German,JB32,SA717,CI615,V489
CW234,Jeffery,Rocha,05/27/2002,Male,British,United Kingdom,JB20,SA966,CI518,V474
CW235,Jon,Ortiz,11/06/1971,Undisclosed,British,United Kingdom,JB29,SA580,CI806,V431
CW236,Javier,Carpenter,06/05/1971,Undisclosed,French,French,JB13,SA727,CI558,V421
CW237,Rebecca,Wheeler,06/24/1974,Male,German,German,JB17,SA822,CI791,V421
CW238,Daniel,Carroll,06/07/1989,Male,French,French,JB28,SA980,CI846,V481
CW239,William,Bryant,05/12/1996,Female,German,German,JB27,SA604,CI916,V489
CW240,Larry,Smith,01/10/1981,Female,German,German,JB31,SA632,CI917,V489
CW241,Christopher,Chavez,12/24/1979,Male,German,German,JB18,SA993,CI839,V490
CW242,Matthew,Lang,03/21/1971,Undisclosed,Spanish,Spanish,JB16,SA847,CI976,V489
CW243,Shannon,Barnes,12/26/2001,Female,French,French,JB23,SA703,CI662,V474
CW244,Jordan,Clements,05/17/1996,Male,Spanish,Spanish,JB32,SA782,CI622,V421
CW245,Becky,Cline,11/15/1992,Male,Spanish,Spanish,JB33,SA782,CI631,V421
CW246,Lindsey,Wilson,01/11/1966,Male,German,German,JB25,SA604,CI692,V428
CW247,Anthony,Haynes,03/14/2005,Male,German,German,JB17,SA726,CI924,V489
CW248,Travis,Wilson,11/15/1990,Undisclosed,German,German,JB13,SA629,CI572,V490
CW249,Sharon,Williams,03/30/1975,Female,French,French,JB15,SA605,CI764,V428
CW250,Scott,Griffin,10/03/1980,Undisclosed,Spanish,Spanish,JB29,SA869,CI734,V481
CW251,Martin,Davidson,11/07/2003,Undisclosed,Spanish,Spanish,JB21,SA908,CI702,V268
CW252,Lisa,Garcia,03/05/1992,Undisclosed,German,German,JB27,SA539,CI526,V421
CW253,Kelly,Kramer,05/17/1985,Male,French,French,JB25,SA851,CI930,V481
CW254,Allison,Jones,06/10/1964,Male,British,United Kingdom,JB16,SA630,CI744,V421
CW255,Pamela,Mcpherson,02/07/1968,Undisclosed,British,United Kingdom,JB25,SA956,CI687,V421
CW256,Brooke,Glenn,03/22/1990,Female,Spanish,Spanish,JB28,SA820,CI675,V474
CW257,Michelle,Gilbert,07/04/1994,Undisclosed,German,German,JB19,SA725,CI761,V481
CW258,Andrew,Bailey,03/09/1967,Female,French,French,JB26,SA706,CI747,V421
CW259,Bryan,Davis,08/02/1967,Female,German,German,JB25,SA915,CI566,V490
CW260,George,Davis,07/21/1965,Female,German,German,JB18,SA983,CI960,V474
CW261,Elizabeth,Cruz,05/01/1995,Undisclosed,British,United Kingdom,JB13,SA891,CI559,V474
CW262,Kathryn,Webster,04/15/1969,Female,British,United Kingdom,JB32,SA572,CI986,V490
CW263,Jessica,Watson,08/28/2000,Undisclosed,British,United Kingdom,JB33,SA843,CI902,V490
CW264,Christopher,Foster,01/09/1971,Undisclosed,British,United Kingdom,JB19,SA989,CI534,V428
CW265,Emma,Little,03/30/1984,Female,Spanish,Spanish,JB21,SA531,CI585,V490
CW266,Edward,Hammond,08/26/1994,Male,British,United Kingdom,JB20,SA780,CI993,V474
CW267,Francisco,Rowland,05/17/1982,Female,British,United Kingdom,JB29,SA919,CI780,V474
CW268,Jessica,Villarreal,06/10/2002,Female,German,German,JB28,SA950,CI928,V490
CW269,Yvonne,Chambers,02/18/1971,Undisclosed,British,United Kingdom,JB20,SA710,CI760,V474
CW270,Brian,Hughes,06/02/1983,Male,French,French,JB31,SA989,CI674,V431
CW271,Anna,Oneal,03/27/1995,Male,British,United Kingdom,JB33,SA621,CI571,V489
CW272,Jennifer,Ayala,01/14/1975,Male,Spanish,Spanish,JB19,SA592,CI658,V481
CW273,Emily,Gillespie,11/19/1966,Undisclosed,French,French,JB32,SA610,CI771,V474
CW274,Jennifer,Wilson,01/19/2001,Undisclosed,Spanish,Spanish,JB33,SA572,CI940,V268
CW275,Nancy,Armstrong,09/29/1965,Undisclosed,British,United Kingdom,JB13,SA776,CI555,V474
CW276,Ruth,Carlson,11/25/1979,Female,British,United Kingdom,JB17,SA805,CI981,V268
CW277,Allison,Holt,12/02/1996,Male,Spanish,Spanish,JB17,SA526,CI688,V481
CW278,Matthew,Jackson,05/17/1969,Female,French,French,JB21,SA731,CI988,V489
CW279,Bobby,Mcfarland,08/15/1997,Female,Spanish,Spanish,JB32,SA854,CI840,V431
CW280,Peter,Barnes,05/29/1966,Female,British,United Kingdom,JB27,SA896,CI636,V431
CW281,Jennifer,Butler,07/13/1990,Male,French,French,JB21,SA625,CI717,V431
CW282,Cheryl,Lawson,02/10/1972,Female,French,French,JB25,SA844,CI816,V428
CW283,Elizabeth,Walker,08/28/1969,Female,German,German,JB23,SA862,CI802,V428
CW284,Douglas,Wilson,03/12/1980,Male,French,French,JB12,SA514,CI638,V268
CW285,Russell,Jensen,08/05/1964,Female,French,French,JB22,SA867,CI734,V268
CW286,James,Collins,03/17/1967,Undisclosed,British,United Kingdom,JB12,SA956,CI666,V489
CW287,Kelly,Johnson,04/26/1989,Undisclosed,Spanish,Spanish,JB15,SA579,CI882,V268
CW288,Brian,Richards,03/25/2005,Male,French,French,JB14,SA766,CI870,V431
CW289,Laura,Marquez,12/27/1984,Female,British,United Kingdom,JB33,SA856,CI807,V489
CW290,Stephanie,Lewis,03/01/2005,Undisclosed,German,German,JB27,SA812,CI529,V474
CW291,Brenda,Lewis,06/25/1988,Female,Spanish,Spanish,JB10,SA649,CI601,V474
CW292,Timothy,Rodriguez,01/25/1991,Female,French,French,JB14,SA609,CI946,V474
CW293,Latasha,Greene,11/09/2004,Male,British,United Kingdom,JB21,SA587,CI842,V428
CW294,Susan,Gonzales,08/28/1993,Female,French,French,JB29,SA853,CI902,V421
CW295,Brenda,Sanchez,06/29/1988,Male,Spanish,Spanish,JB21,SA866,CI851,V268
CW296,Deanna,Shelton,10/19/1983,Female,British,United Kingdom,JB20,SA729,CI882,V481
CW297,Dan,Schaefer,06/29/1967,Female,British,United Kingdom,JB16,SA663,CI859,V428
CW298,Joshua,Palmer,12/25/1983,Female,German,German,JB31,SA719,CI775,V431
CW032,Leah,Clarke,08/10/1965,Male,British,United Kingdom,JB29,SA032,CI032,V490
CW033,Kimberly,Wagner,09/25/1997,Female,German,Germany,JB25,SA033,CI033,V481
CW034,Wesley,Mendez,04/06/1968,Male,Japanese,Japan,JB28,SA034,CI034,V490
CW036,Robert,Marshall,03/10/2000,Male,British,United Kingdom,JB27,SA036,CI036,V481
CW046,Thomas,Beck,05/15/1974,Male,British,United Kingdom,JB29,SA046,CI046,V490
CW047,Holly,Herrera,10/20/1968,Female,British,United Kingdom,JB29,SA047,CI047,V268
CW058,Brian,Guzman,01/26/1976,Male,Mexican,Mexico,JB28,SA058,CI058,V489
CW059,Robert,Stephens,04/16/1973,Male,Indian,India,JB28,SA059,CI059,V428
CW068,Scott,Parker,09/17/1985,Female,British,United Kingdom,JB25,SA068,CI068,V421
CW069,Lori,Hall,07/27/1993,Male,British,United Kingdom,JB26,SA069,CI069,V431
CW072,John,Wood,09/19/2000,Male,British,United Kingdom,JB25,SA072,CI072,V431
CW075,Victoria,Dominguez,01/23/1996,Male,Norwegian,Norway,JB28,SA075,CI075,V481
CW076,Michael,Zimmerman,06/15/1966,Male,Canadian,Canada,JB29,SA076,CI076,V490
CW085,Kathleen,Sandoval,06/24/2001,Male,British,United Kingdom,JB25,SA085,CI085,V268
CW087,Christopher,Nelson,05/14/1973,Male,French,France,JB26,SA087,CI087,V428
CW101,Robert,Hernandez,05/17/1987,Female,Italian,Italy,JB27,SA101,CI101,V490
CW104,Crystal,Thomas,07/08/1992,Female,British,United Kingdom,JB29,SA104,CI104,V490
CW110,Leslie,Montoya,04/09/1994,Male,British,United Kingdom,JB29,SA110,CI110,V474
CW114,Michael,Love,12/10/1994,Female,Japanese,Japan,JB28,SA114,CI114,V481
CW121,John,Gutierrez,07/20/1988,Male,American,United States,JB28,SA121,CI121,V489
CW122,Nancy,Jackson,03/19/1989,Female,Dutch,Netherlands,JB27,SA122,CI122,V489
CW125,Larry,Hudson,07/26/1993,Male,Japanese,Japan,JB26,SA125,CI125,V489
CW126,Christina,Allen,05/06/2001,Male,British,United Kingdom,JB26,SA126,CI126,V490
CW130,Maria,Martin,07/07/1979,Female,Mexican,Mexico,JB27,SA130,CI130,V481
CW142,Renee,West,10/01/1972,Female,British,United Kingdom,JB27,SA142,CI142,V481
CW146,Brett,Freeman,04/27/1975,Female,British,United Kingdom,JB27,SA146,CI146,V474
CW161,Bobby,Ramirez,04/06/1984,Male,American,United States,JB28,SA161,CI161,V431
CW172,Frank,Shaw,01/15/1978,Female,French,France,JB28,SA172,CI172,V474
CW175,Matthew,Cortez,06/19/1997,Male,Chinese,China,JB29,SA175,CI175,V490
CW178,Franklin,Lewis,07/25/1964,Male,Dutch,Netherlands,JB27,SA178,CI178,V421
CW180,Michael,Russell,01/13/1976,Male,British,United Kingdom,JB27,SA180,CI180,V428
CW183,Tina,Martin,03/02/1970,Female,Japanese,Japan,JB25,SA183,CI183,V421
CW184,Steven,Sellers,08/17/1977,Male,Chinese,China,JB26,SA184,CI184,V481
CW193,Michelle,Weber,09/02/1998,Female,British,United Kingdom,JB27,SA193,CI193,V268
CW196,Kathleen,Armstrong,05/12/1976,Male,Dutch,Netherlands,JB26,SA196,CI196,V421
CW198,Michelle,Allen,11/27/1985,Female,South African,South Africa,JB29,SA198,CI198,V428
CW202,Sarah,Mcguire,08/19/1986,Male,British,United Kingdom,JB27,SA202,CI202,V489
CW212,Sarah,Thompson,02/05/1975,Male,Dutch,Netherlands,JB29,SA212,CI212,V490
CW216,Janet,Ramirez,11/28/1972,Female,Dutch,Netherlands,JB28,SA216,CI216,V431
CW229,Christopher,Hall,06/28/1971,Male,Mexican,Mexico,JB28,SA229,CI229,V268
CW035,Stephanie,Baxter,10/09/1965,Male,Greek,Greece,JB33,SA035,CI035,V268
CW049,Mark,Taylor,05/28/1992,Female,Spanish,Spain,JB32,SA049,CI049,V431
CW053,James,Chapman,09/22/1988,Male,British,United Kingdom,JB32,SA053,CI053,V268
CW060,Anthony,Wu,10/27/1975,Male,British,United Kingdom,JB33,SA060,CI060,V421
CW071,Jacob,Summers,06/21/2001,Male,British,United Kingdom,JB32,SA071,CI071,V489
CW089,Raymond,Holmes,08/23/1968,Female,German,Germany,JB32,SA089,CI089,V481
CW091,William,Wilson,09/15/1999,Male,South African,South Africa,JB32,SA091,CI091,V421
CW107,Paul,Reid,08/08/1992,Female,Greek,Greece,JB33,SA107,CI107,V268
CW115,Jeffrey,Williams,12/09/1978,Male,British,United Kingdom,JB32,SA115,CI115,V474
CW128,Brent,Hatfield,11/13/1986,Female,British,United Kingdom,JB33,SA128,CI128,V489
CW149,Priscilla,Owens,10/12/1997,Female,South African,South Africa,JB33,SA149,CI149,V490
CW173,Holly,Fox,11/14/1986,Female,American,United States,JB32,SA173,CI173,V481
CW176,Jeanette,Peterson,11/15/1979,Male,Norwegian,Norway,JB33,SA176,CI176,V421
CW179,Sherry,Johnson,11/22/1980,Female,British,United Kingdom,JB32,SA179,CI179,V474
CW187,Tyrone,Stanley,01/15/2002,Female,French,France,JB32,SA187,CI187,V489
CW197,Adam,Cortez,02/24/2000,Female,British,United Kingdom,JB32,SA197,CI197,V490
CW200,William,West,06/20/1983,Male,British,United Kingdom,JB32,SA200,CI200,V481
CW208,Jessica,Phillips,07/02/1989,Female,Chinese,China,JB33,SA208,CI208,V481
CW226,Charles,Ross,10/04/1989,Female,Indian,India,JB32,SA226,CI226,V481
CW030,Todd,Johnson,01/05/1986,Female,Spanish,Spain,JB10,SA030,CI030,V268
CW031,Joseph,Bautista,04/05/1967,Male,British,United Kingdom,JB13,SA031,CI031,V421
CW039,Thomas,King,01/07/1994,Male,British,United Kingdom,JB11,SA039,CI039,V421
CW048,Richard,Johnson,01/12/1986,Female,Greek,Greece,JB12,SA048,CI048,V489
CW052,Jeffrey,Brooks,03/21/2005,Female,British,United Kingdom,JB11,SA052,CI052,V474
CW054,Anthony,Herrera,10/14/1969,Male,British,United Kingdom,JB10,SA054,CI054,V489
CW063,Anthony,Cooper,10/11/1996,Male,Swedish,Sweden,JB11,SA063,CI063,V268
CW070,Kathleen,Adams,11/15/1980,Male,Italian,Italy,JB16,SA070,CI070,V474
CW078,Marissa,Smith,04/11/1998,Female,British,United Kingdom,JB15,SA078,CI078,V268
CW080,Melissa,King,10/28/1992,Female,British,United Kingdom,JB16,SA080,CI080,V489
CW081,Samantha,Rivera,03/07/1993,Male,Greek,Greece,JB15,SA081,CI081,V421
CW086,Valerie,Miller,08/21/1995,Female,Norwegian,Norway,JB16,SA086,CI086,V431
CW088,Jon,Diaz,07/18/1965,Male,Dutch,Netherlands,JB14,SA088,CI088,V474
CW092,Stephanie,Brown,09/29/1974,Male,British,United Kingdom,JB15,SA092,CI092,V428
CW093,Daniel,Jenkins,01/20/1987,Male,British,United Kingdom,JB10,SA093,CI093,V268
CW095,David,Fernandez,05/15/1999,Male,South African,South Africa,JB15,SA095,CI095,V268
CW097,Earl,Watson,10/27/1992,Female,British,United Kingdom,JB11,SA097,CI097,V474
CW098,Kathryn,Bennett,08/10/1985,Female,British,United Kingdom,JB13,SA098,CI098,V431
CW100,Leslie,Austin,10/25/1974,Female,British,United Kingdom,JB15,SA100,CI100,V489
CW105,Robert,Payne,08/21/1974,Female,British,United Kingdom,JB14,SA105,CI105,V428
CW106,Ashley,Bradley,01/12/1970,Male,British,United Kingdom,JB15,SA106,CI106,V431
CW108,Matthew,Riggs,03/06/1984,Female,British,United Kingdom,JB10,SA108,CI108,V481
CW111,Kristina,Blankenship,08/19/2002,Male,Indian,India,JB14,SA111,CI111,V474
CW113,Samuel,Farrell,07/06/1964,Female,Australian,Australia,JB16,SA113,CI113,V428
CW133,Devin,Carney,03/23/2004,Female,Japanese,Japan,JB14,SA133,CI133,V489
CW135,Robert,Harris,08/03/2000,Female,British,United Kingdom,JB14,SA135,CI135,V490
CW138,April,Smith,02/03/1975,Male,British,United Kingdom,JB16,SA138,CI138,V421
CW140,Amanda,Brown,10/29/1974,Female,British,United Kingdom,JB15,SA140,CI140,V481
CW141,Jessica,Velazquez,08/27/1991,Female,British,United Kingdom,JB11,SA141,CI141,V268
CW143,Krista,Shannon,04/30/1981,Male,British,United Kingdom,JB14,SA143,CI143,V490
CW299,Kendra,Johnson,02/17/1984,Male,Spanish,Spanish,JB21,SA506,CI805,V489
CW300,Philip,Estrada,05/18/1972,Female,British,United Kingdom,JB16,SA593,CI802,V421
CW301,Dillon,Hernandez,02/15/1982,Undisclosed,Spanish,Spanish,JB16,SA515,CI889,V489
CW302,Amy,Parker,12/10/1974,Male,French,French,JB14,SA725,CI566,V489
CW303,David,Romero,06/01/2002,Male,British,United Kingdom,JB28,SA650,CI581,V474
CW304,Louis,Pratt,07/05/1971,Undisclosed,British,United Kingdom,JB19,SA810,CI629,V490
CW305,Aaron,Brown,06/09/1970,Female,French,French,JB28,SA666,CI769,V421
CW306,Yesenia,Diaz,10/29/1981,Undisclosed,British,United Kingdom,JB32,SA597,CI945,V421
CW307,Kevin,Case,04/04/1968,Male,German,German,JB28,SA693,CI656,V431
CW308,Hannah,Faulkner,08/20/1981,Male,Spanish,Spanish,JB14,SA732,CI821,V481
CW309,Joe,Carroll,07/10/1999,Female,British,United Kingdom,JB10,SA527,CI707,V431
CW310,Stacey,Gibson,02/03/1974,Female,Spanish,Spanish,JB20,SA892,CI602,V481
CW311,Alexandra,Myers,06/19/1968,Male,German,German,JB21,SA593,CI945,V428
CW312,Donald,White,06/04/1966,Undisclosed,British,United Kingdom,JB13,SA858,CI548,V489
CW313,Paul,Cortez,06/21/1986,Female,French,French,JB29,SA654,CI694,V268
CW314,Oscar,Good,11/30/1995,Male,Spanish,Spanish,JB31,SA894,CI891,V474
CW315,Richard,Wilson,05/17/1990,Male,German,German,JB25,SA678,CI727,V268
CW316,Elizabeth,Adkins,04/14/1988,Male,German,German,JB33,SA594,CI811,V421
CW317,Amy,Myers,04/22/1985,Male,Spanish,Spanish,JB32,SA642,CI865,V481
CW318,Rachel,Butler,08/24/1978,Male,Spanish,Spanish,JB29,SA817,CI653,V490
CW319,Mark,Walker,08/07/1964,Female,Spanish,Spanish,JB11,SA995,CI765,V421
CW320,Teresa,Leon,08/10/1977,Female,British,United Kingdom,JB30,SA534,CI564,V490
CW321,Michelle,Swanson,08/07/1973,Undisclosed,Spanish,Spanish,JB15,SA930,CI549,V428
CW322,Matthew,Sanchez,10/28/1969,Male,Spanish,Spanish,JB13,SA959,CI695,V490
CW323,Olivia,Smith,06/21/1998,Female,Spanish,Spanish,JB25,SA979,CI780,V421
CW324,Brandon,Chapman,08/18/1976,Undisclosed,British,United Kingdom,JB22,SA722,CI794,V481
